recall,precision
1.0,0.6070813187573115
1.0,0.607242291663064
1.0,0.6074033499581976
1.0,0.6075644937106737
1.0,0.6077257229885257
1.0,0.6078870378598591
1.0,0.6080484383928519
1.0,0.6082099246557547
1.0,0.6083714967168903
1.0,0.6085331546446541
1.0,0.6086948985075145
1.0,0.6088567283740124
1.0,0.609018644312762
1.0,0.6091806463924501
1.0,0.6093427346818369
1.0,0.6095049092497555
1.0,0.6096671701651127
1.0,0.6098295174968885
1.0,0.6099919513141362
1.0,0.6101544716859829
1.0,0.6103170786816293
1.0,0.6104797723703502
1.0,0.6106425528214938
1.0,0.6108054201044826
1.0,0.610968374288813
1.0,0.6111314154440558
1.0,0.6112945436398559
1.0,0.6114577589459326
1.0,0.6116210614320798
1.0,0.6117844511681659
1.0,0.611947928224134
1.0,0.6121114926700019
1.0,0.6122751445758624
1.0,0.6124388840118831
1.0,0.6126027110483069
1.0,0.6127666257554517
1.0,0.6129306282037109
1.0,0.613094718463553
1.0,0.6132588966055222
1.0,0.6134231627002381
1.0,0.6135875168183963
1.0,0.6137519590307677
1.0,0.6139164894081995
1.0,0.6140811080216149
1.0,0.6142458149420127
1.0,0.6144106102404685
1.0,0.6145754939881338
1.0,0.6147404662562367
1.0,0.6149055271160817
1.0,0.6150706766390499
1.0,0.6152359148965992
1.0,0.6154012419602642
1.0,0.6155666579016565
1.0,0.6157321627924648
1.0,0.6158977567044545
1.0,0.6160634397094686
1.0,0.6162292118794275
1.0,0.6163950732863287
1.0,0.6165610240022474
1.0,0.6167270640993368
1.0,0.616893193649827
1.0,0.6170594127260267
1.0,0.6172257214003223
1.0,0.6173921197451782
1.0,0.617558607833137
1.0,0.6177251857368196
1.0,0.6178918535289253
1.0,0.6180586112822318
1.0,0.6182254590695955
1.0,0.6183923969639513
1.0,0.6185594250383132
1.0,0.6187265433657737
1.0,0.6188937520195047
1.0,0.6190610510727571
1.0,0.6192284405988608
1.0,0.6193959206712254
1.0,0.6195634913633397
1.0,0.619731152748772
1.0,0.6198989049011704
1.0,0.6200667478942629
1.0,0.6202346818018569
1.0,0.6204027066978404
1.0,0.620570822656181
1.0,0.6207390297509265
1.0,0.6209073280562055
1.0,0.6210757176462265
1.0,0.6212441985952787
1.0,0.6214164366107454
1.0,0.6215887701576025
1.0,0.6217575296138251
1.0,0.6219263807302889
1.0,0.6221100186021791
1.0,0.622279061250288
1.0,0.6224481957894861
1.0,0.6226174222947215
1.0,0.622790422701744
1.0,0.6229598353675845
1.0,0.6231293402264312
1.0,0.6233063132359032
1.0,0.6234760067233257
1.0,0.6236457926331119
1.0,0.6238156710407883
1.0,0.6239856420219635
1.0,0.6241557056523285
1.0,0.6243332622146363
1.0,0.6245146221018123
1.0,0.6246960873845132
1.0,0.6248665385436686
1.0,0.6250407912614735
1.0,0.6252114306062494
1.0,0.6253821631473028
1.0,0.6255529889610043
1.0,0.6257276247950772
1.0,0.6258986394153645
1.0,0.6260697475395807
1.0,0.6262409492444329
1.0,0.6264122446067122
1.0,0.626583633703294
1.0,0.6267551166111376
1.0,0.6269341553989716
1.0,0.6271058302477588
1.0,0.6272775991425509
1.0,0.627449462160649
1.0,0.6276214193794385
1.0,0.6287752178584218
1.0,0.6289516576812165
1.0,0.629146983116441
1.0,0.629334910479058
1.0,0.6295229501437185
1.0,0.6297186306332155
1.0,0.6299181994307446
1.0,0.630110356790382
1.0,0.6302988602028301
1.0,0.6304912499102248
1.0,0.6306724298953519
1.0,0.6308499362233441
1.0,0.6318905430857636
1.0,0.6320725282901132
1.0,0.6322697972559329
1.0,0.6324444070889967
1.0,0.6326191133904229
1.0,0.6327939162401788
1.0,0.63296881571832
1.0,0.6331438119049909
1.0,0.6333189048804242
1.0,0.6334940947249417
1.0,0.6336693815189538
1.0,0.6338447653429603
1.0,0.6340202462775497
1.0,0.6341958244034002
1.0,0.8431174818122884
1.0,0.8434279949720178
1.0,0.8497757485802788
1.0,0.8546637568047769
1.0,0.8549828346034916
1.0,0.858585446958336
1.0,0.8589074602527518
1.0,0.8592297151805813
